                                        obs    group     useful    difficulty    importance
                                          1      1      19.6000       5.1500        9.5000 
                                          2      1      15.4000       5.7500        9.1000 
                                          3      1      22.3000       4.3500        3.3000 
                                          4      1      24.3000       7.5500        5.0000 
                                          5      1      22.5000       8.5000        6.0000 
                                          6      1      20.5000      10.2500        5.0000 
                                          7      1      14.1000       5.9500       18.8000 
                                          8      1      13.0000       6.3000       16.5000 
                                          9      1      14.1000       5.4500        8.9000 
                                         10      1      16.7000       3.7500        6.0000 
                                         11      1      16.8000       5.1000        7.4000 
                                         12      2      17.1000       9.0000        7.5000 
                                         13      2      15.7000       5.3000        8.5000 
                                         14      2      14.9000       9.8500        6.0000 
                                         15      2      19.7000       3.6000        2.9000 
                                         16      2      17.2000       4.0500        0.2000 
                                         17      2      16.0000       4.4000        2.6000 
                                         18      2      12.8000       7.1500        7.0000 
                                         19      2      13.6000       7.2500        3.2000 
                                         20      2      14.2000       5.3000        6.2000 
                                         21      2      13.1000       3.1000        5.5000 
                                         22      2      16.5000       2.4000        6.6000 
                                         23      3      16.0000       4.5500        2.9000 
                                         24      3      12.5000       2.6500        0.7000 
                                         25      3      18.5000       6.5000        5.3000 
                                         26      3      19.2000       4.8500        8.3000 
                                         27      3      12.0000       8.7500        9.0000 
                                         28      3      13.0000       5.2000       10.3000 
                                         29      3      11.9000       4.7500        8.5000 
                                         30      3      12.0000       5.8500        9.5000 
                                         31      3      19.8000       2.8500        2.3000 
                                         32      3      16.5000       6.5500        3.3000 
                                         33      3      17.4000       6.6000        1.9000 
